# erase_all.sr: DMI transactions decoded from the wire (t in ms from capture start)
   65.0852 W dmcontrol    40000001 st=00
   65.1493 RAW55 1001000100001010000000000000000000011001000001001001101
   65.2759 W dmcontrol    40000000 st=00
   67.2087 RAW17171 10010001000000000000000000000000000100010000010010111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110
  113.3566 RAW99 111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
  113.5655 RAW1997 11111101110100010110101010010100000100000000001101110111111011110000010110101010010100000100000000001100110100100010000001000000000000000000001100100000100100110100100001010100100000000000000000000000000000010000110100100001010000100000000000000000000000000000010101110100100010010100000000000000000000000011100000100101110111111110110100000100000011000100000111000100000001110100001011110101000111111111111111110111000001001101110100101111110000000000100010000000000000000000000101110100001000110101000100000011000100000111000100000101110100001001000101000000000000000000000011000000000101110100101111110100000000000010001100000111110000000001110100001011110001010000000000001000010000000000001101110100101111110101000000100010000000000000000000000000110100001000110100000000000001000001111111100000111101110100001011110100010000000000001000010000000000001100110100001001000100000000000001000001111111100000111101110100101111110000000000100010000100000000000000001101110100001011110101010000000000001000010000000001000101110100101111110100000000100010000000000000000000000100110100001000110100000000000000000000000000000000000101110100001011110100010000000000001000010000000001000100110100001001010000000000000000000000000000000000000001110100101111110100000000100010000100000000000000001100110100001011110101010000000000001000010000000000001100110100101111110001000000100010000000000000000000000100110100001000110100000000000001000001111111100000111100110100001011110100010000000000001000010000000000001100110100001001000100000000000001000001111111100000111100110100101111110001000000100010000100000000000000001100110100001011110100010000000000001000010000000000001100110100101111110000000000100010000000000000000000000100110100001000110100000000000001000001111111100000111100110100001011110001010000000000001000010000000000001100110100001001000000000000000001000001111111100000111100110100101111110001000000100010000100000000000000001100110100001011110101010000000000001000010000000001000000110
  118.1601 RAW755 00101111110001000000100010000000000000000000000100110100001000110100000000000000000000000000000000000101110100001011110000010000000000001000010000000001000000110100001001000001000000000000000000000000000000000100110100101111110100000000100010000100000000000000001101110100001011110100010000000000001000010000000010000100110100001001000100000000001001111100000000000000000000110100101111110001000000100010000100000000000000001100110100001011110100010000000000001000111000000000001100110100101111110101000000100010000000000000000000000100110100001000110101000000000000000000100100110000000101110100001011110000010000000000001000111000000000001101110100001001010001000000000000000000100100110100001101110100101111110101000000100010000100000000000000001100110
  119.9003 RAW3078 000010111101010100000000000010001000000000000011001101001011111100000000001000100000000000000000000000011101000010001101010000000000000000000000000000000001011101000010111101000100000000000010001000000000000011011101000010010101010000000000000000000000000001000011001101001011111100010000001000100001000000000000000011001101000010111101010100000000000010001000000000000011001101001011111100010000001000100000000000000000000000011101000010001101000000000000000000000000000000000001011101000010111100000100000000000010001000000000000011001101000010010000000000000000000000000000000000000111001101001011111101000000001000100001000000000000000011011101000010111100000100000000000010000100000000010000011101001011111100010000001000100000000000000000000001001101000010001101010000000000000000000000000000000000011101000010111100010100000000000010000100000000010001011101000010010000010000000000000000000001000000000011001101001011111101000000001000100001000000000000000011001101000010111100010100000000000010000100000000010001001101001011111101000000001000100000000000000000000000001101000010001101010000000000000000000001000000000011011101000010111100010100000000000010000100000000010001011101000010010000000000000000000000000001000000000011001101001011111101000000001000100001000000000000000011001101000010111100010100000000000010000100000000010000011101001011111100010000001000100000000000000000000000011101000010001101000000000000000000000001000000000011011101000010111100010100000000000010000100000000010000011101000010010101000000000000011100000001000000000000011101001011111101010000001000100001000000000000000011001101000010111100000100000000000010000100000000000011001101001011111100010000001000100000000000000000000000011101000010001101000000000000010000011111111000001111001101000010111101000100000000000010000100000000000011001101000010010100010000000100010000011111111000001100011101001011111100000000001000100001000000000000000011001101000010111100010100000000000010000100000000000011001101001011111101000000001000100000000000000000000000001101000010001101000000000100010000011111111000001100011101000010111100010100000000000010000100000000000011011101001011111100000000001000100000000000000000000001001101000010001101000000001100010000011111111000001111011101000010111100000100000000000010000100000000010000001101001011111100010000001000100000000000000000000001011101000010001101010000000000011100000001000000000000011101000010111101000100000000000010000100000000010001011101000010010000000000000000011100000001000000000001001101001011111100000000001000100001000000000000000011011101000010111101000100000000000010000100000000010001001101001011111101010000001000100000000000000000000000001101000010001101000000000000011100000001000000000000011101000010111100000100000000000010000100000000010000001101000010010100000000000000011100000001000000001011001101001011111101010000001000100001000000000000000011001101000010111101010100000000000010000100000000010000001101001011111100000000001000100000000000000000000000011101000010001101010000000000011100000001000000101001001101
  126.9742 W data1        40022010 st=00
  127.0061 W data0        00008080 st=00
  127.0377 W command      02210000 st=00
